symbol,log2FC,FDR
RPS11,-0.09040333333333272,0.17023884117684532
COX4I1,-0.03765666666666512,0.33682470025717504
TG,-0.07784066666666689,0.44172084725038513
LAPTM4B,0.12460333333333296,0.05320894648142978
LAPTM4B,-0.0990066666666678,0.14261367395186555
LAPTM4B,0.09920333333333353,0.21384708171454056
PLD3,-0.06468766666666692,0.7467150784957536
PHB2,0.22862333333333318,0.03326935585369988
PHB2,0.08186000000000071,0.25030689414089163
TOMM7,-0.2431666666666672,0.04159992438856682
REG1A,0.00905733333333325,0.978552357556584
CDKN1A,0.023816666666665043,0.5191523432320885
CDKN1A,0.1753600000000013,0.03876751730006812
FKBP1A,0.4253,0.028193593074254685
FKBP1A,-0.17459033333333274,0.19840145443305243
MTCH1,0.12046666666666539,0.42266205574912175
MTCH1,0.20765666666666682,0.13431517079286867
C3,0.15997066666666626,0.23298915212580273
CD81,0.23544666666666814,0.05203333822870568
TXNDC5,0.09726333333333237,0.34858436286051153
TXNDC5,0.11756333333333302,0.2892518846913036
MAGED2,-0.19621599999999972,0.13677072828101475
APEX1,0.002966666666665674,0.9445888656018756
SLC25A5,0.2329133333333342,0.06357346013785548
SLC25A5,0.24119666666666717,0.05984497343573231
ILF2,-0.12403333333333144,0.059328043633855736
ILF2,-0.162096666666665,0.2520501444665666
COL6A1,0.23304400000000047,0.5397133094783844
COL6A1,0.039059666666666715,0.85538866046544
COL6A1,-0.0078053333333318875,0.9303717194908397
PSMB4,-0.30863333333333287,0.036387747330847105
PSMB4,-0.3190400000000011,0.08418877663914978
PRDX2,0.3210766666666647,0.025164366267628396
PRDX2,0.19695666666666867,0.04505788071445349
EPAS1,0.7354036666666666,0.02443777777673507
EPAS1,0.22046266666666625,0.17960927233895996
TSC22D1,0.050789999999999225,0.5327891082732163
COL3A1,0.09153633333333344,0.5279685230291103
DDB1,0.05041166666666541,0.7264634853068432
SKP1,-0.1415233333333319,0.22559101400341663
SKP1,-0.05021666666666569,0.7087410891386963
LY6E,-0.24672499999999964,0.11422687350201967
CCT2,-0.05149666666666697,0.4197386082213475
BCAP31,-0.18972666666666527,0.09752762373989585
BCAP31,0.04511999999999894,0.2863083722488823
BCAP31,-0.19397999999999982,0.1235289610205967
FLNA,0.6385663333333333,0.047391429916465576
SNU13,-0.012190000000002144,0.8191152790122185
SNU13,0.0034516666666668527,0.9571156873385657
ARF4,0.3888633333333331,0.051970528787346496
ARF4,0.15931666666666544,0.026312339968695423
AKR1B1,0.03340999999999816,0.5444290549487532
TMBIM1,1.1914829999999998,0.018964595579922968
TMBIM1,0.2437733333333334,0.1141350737556298
RBBP7,-0.16902499999999954,0.030995693558898973
TIMP3,0.5312393333333336,0.05164808231073145
TIMP3,0.9878219999999995,0.0252805293701263
DAP,1.0147373333333345,0.009300959140701717
DAP,0.25505366666666873,0.05371610994040175
CCN2,0.5397013333333334,0.03809361537148928
CCN2,-0.1711233333333304,0.14921568644516361
CCN2,-0.18576666666666597,0.23102844629343733
CPB1,-0.0996760000000001,0.7414110919653744
CPB1,0.0829843333333331,0.5789901245346836
DNAJB1,0.16539900000000074,0.1161555893016061
DNAJB1,-0.034001666666668484,0.7040891837880884
TALDO1,-0.013519999999999754,0.8431866357205365
ERGIC3,0.07184466666666722,0.11794614827815554
ERGIC3,0.01607166666666693,0.8412420668075313
RPL10,0.04808666666666639,0.7859645687939351
COL4A2,0.705897666666667,0.027641973223610696
COL4A2,0.43704566666666445,0.056594342490462086
COL4A2,0.7510576666666662,0.04232583135010125
KISS1,0.1680486666666665,0.2588744227836302
KISS1,-0.021895666666666536,0.8902212202964076
SSR2,-0.1029666666666671,0.07360340518197729
SSR2,-0.22273999999999994,0.09899927091182086
COX8A,-0.04102333333333519,0.7440783243113913
COX8A,-0.07328666666666805,0.039784668110555824
DHCR24,0.678411333333333,0.06752533329081004
LYZ,0.15493699999999944,0.5453767935377208
LYZ,0.034159999999999524,0.7855416286087373
IGFBP4,0.12433900000000042,0.573616094400114
IGFBP4,-0.1185333333333336,0.4650246684643345
IGFBP4,0.14736933333333369,0.5651415775844786
ARHGDIB,-0.3257879999999993,0.2604213114241134
ARHGDIB,-0.01172866666666561,0.944926483733313
TUFM,0.03881666666666561,0.2983056613487712
TXN,-0.37381000000000064,0.13040825353215416
TXN,-0.19333000000000133,0.07369521126685176
SRPRA,0.23139666666666692,0.13915054437618646
SRPRA,0.5605246666666659,0.019992116711131942
DDX17,0.8536236666666674,0.08757524646949937
DDX17,0.36357099999999853,0.31892395202546664
DDX17,0.4287633333333343,0.03712963400980069
TFRC,-0.2609166666666667,0.03050630175980919
TFRC,0.18252433333333506,0.5070232960465635
GABARAP,0.0806933333333344,0.3119499488107183
GABARAP,-0.027923333333333744,0.6428606799389064
SST,-0.06765299999999996,0.6235179598053995
MCL1,-0.14184100000000122,0.23332600864903874
MCL1,-0.1479533333333336,0.3021255768909153
MCL1,0.465328333333332,0.04039101927544148
MCL1,-0.33896666666666597,0.21358085531250554
PGRMC1,-0.15951333333333118,0.12774964335028677
PGRMC1,0.06971266666666587,0.602421186808242
AMY2A,-0.653416,0.16473850329237502
FSCN1,0.22039700000000106,0.32309941308435897
MORF4L1,-0.06279999999999752,0.5162677818553243
CCN1,0.24498333333333377,0.049671256682113245
HBG2,-0.11040233333333305,0.5131237625395219
RPS25,-0.08475666666666903,0.07121208480811562
CTSK,-0.2782766666666685,0.04213069460940083
OXA1L,0.1299126666666659,0.12752157380320997
CBX3,-0.17904666666666635,0.08414725303953469
TARDBP,0.11624533333333176,0.24595006624416832
IGFBP7,-0.12432333333333112,0.3104700049394334
RPL18A,0.019979999999998554,0.35221533653975345
LASP1,0.9926303333333308,0.022579067065480827
LASP1,0.9945249999999994,0.01434281349154646
IARS1,0.13314666666666675,0.18467237637806663
MAGED1,0.2674566666666678,0.0532237987530293
MAGED1,0.23806666666666665,0.06016894601671492
MFGE8,0.13172066666666638,0.3581693766744781
NDFIP1,-0.2011166666666666,0.10869777844725896
NDFIP1,-0.07681999999999967,0.36098344494764184
HERPUD1,0.03634833333333454,0.23626497822273113
PSMD3,0.23796733333333187,0.08426732854943446
PSMD3,0.3208076666666688,0.042460519841650377
