Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	3/766	1.200476e-02	5.834614e-02	0	0	7.558585e+00	3.342748e+01	STAT2;LMNA;SMARCA4
GO_Biological_Process_2023	Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090287)	1/19	1.228340e-02	5.834614e-02	0	0	9.244907e+01	4.067303e+02	ITGA3
GO_Biological_Process_2023	N-glycan Processing (GO:0006491)	1/19	1.228340e-02	5.834614e-02	0	0	9.244907e+01	4.067303e+02	GANAB
GO_Biological_Process_2023	Regulation Of Transcription Involved In G1/S Transition Of Mitotic Cell Cycle (GO:0000083)	1/19	1.228340e-02	5.834614e-02	0	0	9.244907e+01	4.067303e+02	BRD4
GO_Biological_Process_2023	Mesoderm Formation (GO:0001707)	1/20	1.292602e-02	5.912458e-02	0	0	8.757895e+01	3.808382e+02	ITGA3
GO_Biological_Process_2023	protein-DNA Complex Disassembly (GO:0032986)	1/20	1.292602e-02	5.912458e-02	0	0	8.757895e+01	3.808382e+02	SMARCA4
GO_Biological_Process_2023	Glucose Transmembrane Transport (GO:1904659)	1/22	1.421011e-02	6.267673e-02	0	0	7.923016e+01	3.370294e+02	SLC2A1
GO_Biological_Process_2023	Hexose Transmembrane Transport (GO:0008645)	1/22	1.421011e-02	6.267673e-02	0	0	7.923016e+01	3.370294e+02	SLC2A1
GO_Biological_Process_2023	Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus (GO:1903844)	1/23	1.485157e-02	6.347337e-02	0	0	7.562500e+01	3.183547e+02	ITGA3
GO_Biological_Process_2023	Positive Regulation Of Cell Cycle G2/M Phase Transition (GO:1902751)	1/24	1.549266e-02	6.347337e-02	0	0	7.233333e+01	3.014412e+02	BRD4
GO_Biological_Process_2023	miRNA-mediated Gene Silencing (GO:0035195)	1/26	1.677366e-02	6.347337e-02	0	0	6.654000e+01	2.720119e+02	EIF4G1
GO_Biological_Process_2023	Dendritic Spine Organization (GO:0097061)	1/26	1.677366e-02	6.347337e-02	0	0	6.654000e+01	2.720119e+02	ITGA3
GO_Biological_Process_2023	Regulation Of Nucleotide-Excision Repair (GO:2000819)	1/26	1.677366e-02	6.347337e-02	0	0	6.654000e+01	2.720119e+02	SMARCA4
GO_Biological_Process_2023	Respiratory Tube Development (GO:0030323)	1/27	1.741359e-02	6.347337e-02	0	0	6.397756e+01	2.591414e+02	ITGA3
GO_Biological_Process_2023	Regulation Of Mitochondrial Fission (GO:0090140)	1/27	1.741359e-02	6.347337e-02	0	0	6.397756e+01	2.591414e+02	STAT2
GO_Biological_Process_2023	Regulation Of Actin Polymerization Or Depolymerization (GO:0008064)	1/27	1.741359e-02	6.347337e-02	0	0	6.397756e+01	2.591414e+02	WDR1
GO_Biological_Process_2023	Regulation Of Androgen Receptor Signaling Pathway (GO:0060765)	1/27	1.741359e-02	6.347337e-02	0	0	6.397756e+01	2.591414e+02	SMARCA4
GO_Biological_Process_2023	Protein Depolymerization (GO:0051261)	1/28	1.805313e-02	6.347337e-02	0	0	6.160494e+01	2.473091e+02	WDR1
GO_Biological_Process_2023	Peptidyl-Tyrosine Dephosphorylation (GO:0035335)	1/29	1.869229e-02	6.347337e-02	0	0	5.940179e+01	2.363980e+02	PTPRF
GO_Biological_Process_2023	Sarcomere Organization (GO:0045214)	1/29	1.869229e-02	6.347337e-02	0	0	5.940179e+01	2.363980e+02	WDR1
GO_Biological_Process_2023	Cytoplasmic Translational Initiation (GO:0002183)	1/30	1.933106e-02	6.347337e-02	0	0	5.735057e+01	2.263078e+02	EIF4G1
GO_Biological_Process_2023	Negative Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033144)	1/31	1.996945e-02	6.347337e-02	0	0	5.543611e+01	2.169521e+02	SMARCA4
GO_Biological_Process_2023	Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090092)	1/31	1.996945e-02	6.347337e-02	0	0	5.543611e+01	2.169521e+02	ITGA3
GO_Biological_Process_2023	Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:1900087)	1/31	1.996945e-02	6.347337e-02	0	0	5.543611e+01	2.169521e+02	EIF4G1
GO_Biological_Process_2023	Receptor Signaling Pathway Via STAT (GO:0097696)	1/31	1.996945e-02	6.347337e-02	0	0	5.543611e+01	2.169521e+02	STAT2
GO_Biological_Process_2023	Heterochromatin Formation (GO:0031507)	1/32	2.060746e-02	6.347337e-02	0	0	5.364516e+01	2.082560e+02	LMNA
GO_Biological_Process_2023	Respiratory System Development (GO:0060541)	1/32	2.060746e-02	6.347337e-02	0	0	5.364516e+01	2.082560e+02	ITGA3
GO_Biological_Process_2023	Regulation Of Metaphase/Anaphase Transition Of Cell Cycle (GO:1902099)	1/32	2.060746e-02	6.347337e-02	0	0	5.364516e+01	2.082560e+02	SMARCA4
GO_Biological_Process_2023	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	3/938	2.066584e-02	6.347337e-02	0	0	6.112941e+00	2.371377e+01	STAT2;BRD4;SMARCA4
GO_Biological_Process_2023	Carboxylic Acid Metabolic Process (GO:0019752)	1/33	2.124508e-02	6.347337e-02	0	0	5.196615e+01	2.001544e+02	SLC2A1
GO_Biological_Process_2023	Positive Regulation Of Nitrogen Compound Metabolic Process (GO:0051173)	1/33	2.124508e-02	6.347337e-02	0	0	5.196615e+01	2.001544e+02	EIF4G1
GO_Biological_Process_2023	Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338)	1/33	2.124508e-02	6.347337e-02	0	0	5.196615e+01	2.001544e+02	STAT2
GO_Biological_Process_2023	Regulation Of G0 To G1 Transition (GO:0070316)	1/33	2.124508e-02	6.347337e-02	0	0	5.196615e+01	2.001544e+02	SMARCA4
GO_Biological_Process_2023	Lung Development (GO:0030324)	1/33	2.124508e-02	6.347337e-02	0	0	5.196615e+01	2.001544e+02	ITGA3
GO_Biological_Process_2023	Transcription Initiation-Coupled Chromatin Remodeling (GO:0045815)	1/34	2.188232e-02	6.347337e-02	0	0	5.038889e+01	1.925902e+02	SMARCA4
GO_Biological_Process_2023	Negative Regulation Of Ras Protein Signal Transduction (GO:0046580)	1/34	2.188232e-02	6.347337e-02	0	0	5.038889e+01	1.925902e+02	ITGA3
