ProbeID,log2FC,FDR
11715226_s_at,0.05814833333333258,0.6945018587032937
11715227_s_at,0.10106633333333281,0.6808109889305335
11715228_s_at,0.33061366666666636,0.43496099118561465
11715229_s_at,0.023132000000000374,0.9029625446238116
11715230_s_at,-0.26373766666666576,0.2564521152782676
11715231_x_at,-0.2727466666666647,0.10537549555083192
11715232_x_at,-0.23178833333333237,0.035029675123882026
11715233_s_at,0.01578966666666748,0.8187542595108508
11715234_s_at,0.13787933333333413,0.1426218669465345
11715235_x_at,-0.9708603333333343,0.09014579446577554
11715236_s_at,-0.10142566666666708,0.4768030957246783
11715237_s_at,-0.4470633333333325,0.06233044213307228
11715238_x_at,-0.41807666666666776,0.04058378028516287
11715239_x_at,0.16869666666666738,0.01680134013551017
11715240_at,-0.839519666666666,0.05107005501217043
11715241_s_at,0.24209899999999873,0.12195367548327958
11715242_s_at,0.21719000000000133,0.40015179644339266
11715243_x_at,0.14042033333333315,0.41334845089840705
11715244_x_at,0.2978446666666672,0.056095598492154765
11715245_s_at,0.2504213333333327,0.19893128895060364
11715246_x_at,0.2192520000000009,0.39376521342543785
11715247_s_at,-0.037211333333333485,0.916209320011656
11715248_s_at,-0.014920000000000044,0.9323112236181538
11715249_s_at,-0.16455466666666685,0.26562347494827326
11715250_s_at,-0.6323050000000001,0.08398353893605542
11715251_at,-0.3351233333333328,0.07999073778762777
11715252_at,-0.42427999999999955,0.052801441273271674
11715253_s_at,0.27077633333333395,0.26233206136811843
11715254_s_at,-0.12290699999999966,0.3943646720220687
11715255_s_at,0.03289499999999945,0.6091491564590172
11715256_at,0.09209433333333372,0.765557152794009
11715257_x_at,0.2439656666666652,0.4849570737134458
11715258_s_at,0.38357666666666734,0.10967466778236938
11715259_s_at,0.143558333333333,0.3219667704384479
11715260_at,-0.0672156666666659,0.5719057732026422
11715261_s_at,-0.09065099999999982,0.7209232746554545
11715262_at,0.0008900000000000574,0.9971757781364408
11715263_at,-0.00534833333333351,0.9699572954047667
11715264_s_at,0.06793466666666692,0.6865507266302552
11715265_at,-0.1234936666666675,0.2099732724055978
11715266_s_at,0.28448899999999977,0.15039351333249495
11715267_s_at,0.06675733333333289,0.5541953487755268
11715268_s_at,0.2576229999999997,0.3746064172942134
11715269_x_at,0.14103866666666676,0.48650181206428955
11715270_s_at,0.7145073333333327,0.056791100906233245
11715271_s_at,0.13615499999999958,0.40393618327351266
11715272_s_at,0.0005070000000002572,0.9930035104879221
11715273_at,-0.3105756666666677,0.23273578712946222
11715274_x_at,-0.2853023333333331,0.15744115654483437
11715275_s_at,-0.17896133333333353,0.06476333846837984
11715276_s_at,-0.035178999999999405,0.344325553311674
11715277_s_at,-0.18524533333333437,0.17968087161985077
11715278_s_at,-0.05604066666666618,0.4761450891560514
11715279_x_at,0.06870333333333267,0.8219561992276365
11715280_s_at,-0.03791966666666635,0.9355962753728614
11715281_at,0.02070099999999986,0.9208116056970266
11715282_s_at,-0.12808199999999914,0.07380245278989625
11715283_at,0.011334999999999429,0.9743544402985624
11715284_x_at,0.02242766666666718,0.8628236807411163
11715285_at,-0.43282966666666667,0.1748986359738398
